OBJECTID;MUNICIPIO;Estado;Região
5436;Córrego Danta ; MG;Sudeste
5437;Esmeraldas ; MG;Sudeste
5438;São Sebastião do Anta ; MG;Sudeste
5439;Calumbi ; PE;Nordeste
5440;Moita Bonita ; SE;Nordeste
5441;São José do Peixe ; PI;Nordeste
5442;Senador José Bento ; MG;Sudeste
5443;Wall Ferraz ; PI;Nordeste
5444;São José dos Ramos ; PB;Nordeste
5445;Conceição das Pedras ; MG;Sudeste
5446;Prata do Piauí ; PI;Nordeste
5447;Monte Horebe ; PB;Nordeste
5448;São Miguel dos Milagres ; AL;Nordeste
5449;Feira Nova ; PE;Nordeste
5450;Ouro Velho ; PB;Nordeste
5451;Dirce Reis ; SP;Sudeste
5452;Jaramataia ; AL;Nordeste
5453;Tracunhaém ; PE;Nordeste
5454;Ferreiros ; PE;Nordeste
5455;Pacoti ; CE;Nordeste
5456;Acaiaca ; MG;Sudeste
5457;Massapê do Piauí ; PI;Nordeste
5458;Ibiara ; PB;Nordeste
5459;Campo Alegre do Fidalgo ; PI;Nordeste
5460;Lago do Junco ; MA;Nordeste
5461;Igarapé Grande ; MA;Nordeste
5462;Palmelo ; GO;Centro-Oeste
5463;Cabeceiras do Piauí ; PI;Nordeste
5464;Mendes ; RJ;Sudeste
5465;Fátima ; BA;Nordeste
5466;Xexéu ; PE;Nordeste
5467;Rio Branco ; AC;Norte
5468;Cajueiro ; AL;Nordeste
5469;Machados ; PE;Nordeste
5470;Sena Madureira ; AC;Norte
5471;Camutanga ; PE;Nordeste
5472;Isaías Coelho ; PI;Nordeste
5473;Lagoinha do Piauí ; PI;Nordeste
5474;Riachuelo ; RN;Nordeste
5475;Tenório ; PB;Nordeste
5476;Valente ; BA;Nordeste
5477;Manoel Urbano ; AC;Norte
5478;Orocó ; PE;Nordeste
5479;Madre de Deus ; BA;Nordeste
5480;Tacaimbó ; PE;Nordeste
5481;Chã Grande ; PE;Nordeste
5482;Senador José Porfírio ; PA;Norte
5483;Aveiro ; PA;Norte
5484;São Paulo de Olivença ; AM;Norte
5485;Maués ; AM;Norte
5486;Altamira ; PA;Norte
5487;Anapu ; PA;Norte
5488;Medicilândia ; PA;Norte
5489;Natuba ; PB;Nordeste
5490;Montadas ; PB;Nordeste
5491;Nazaré do Piauí ; PI;Nordeste
5492;Serra da Raiz ; PB;Nordeste
5493;Sucupira do Norte ; MA;Nordeste
5494;Riacho de Santana ; RN;Nordeste
5495;Tapauá ; AM;Norte
5496;Juruá ; AM;Norte
5497;São José do Egito ; PE;Nordeste
5498;Santa Terezinha ; PE;Nordeste
5499;Marcolândia ; PI;Nordeste
5500;Boqueirão ; PB;Nordeste
5501;Apiacás ; MT;Centro-Oeste
5502;Floresta do Piauí ; PI;Nordeste
5503;Pitimbu ; PB;Nordeste
5504;Salgado de São Félix ; PB;Nordeste
5505;São Félix do Xingu ; PA;Norte
5506;Tuntum ; MA;Nordeste
5507;Manicoré ; AM;Norte
5508;Trairão ; PA;Norte
5509;Carauari ; AM;Norte
5510;Benjamin Constant ; AM;Norte
5511;Elias Fausto ; SP;Sudeste
5512;Borba ; AM;Norte
5513;Bom Jardim ; MA;Nordeste
5514;Parelhas ; RN;Nordeste
5515;Equador ; RN;Nordeste
5516;Icatu ; MA;Nordeste
5517;Formosa ; GO;Centro-Oeste
5518;São José de Ribamar ; MA;Nordeste
5519;Santa Isabel do Pará ; PA;Norte
5520;São Vicente do Seridó ; PB;Nordeste
5521;Tacima ; PB;Nordeste
5522;São Valério ; TO;Norte
5523;Belém do São Francisco ; PE;Nordeste
5524;Iguaraci ; PE;Nordeste
5525;Moji Mirim ; SP;Sudeste
5526;Maçambará ; RS;Sul
5527;Amambai ; MS;Centro-Oeste
5528;Luciara ; MT;Centro-Oeste
5529;Boa Esperança ; ES;Sudeste
5530;Nova Venécia ; ES;Sudeste
5531;Bela Vista do Piauí ; PI;Nordeste
5532;Nova Santa Rita ; PI;Nordeste
5533;Restinga Seca ; RS;Sul
5534;Vespasiano Correa ; RS;Sul
5535;Gracho Cardoso ; SE;Nordeste
5536;Alcântara ; MA;Nordeste
5537;Ilhabela ; SP;Sudeste
5538;Guimarães ; MA;Nordeste
5539;Santa Bárbara ; BA;Nordeste
5540;Porto Rico do Maranhão ; MA;Nordeste
5541;Cururupu ; MA;Nordeste
5542;Apicum-Açu; MA;Nordeste
5543;Feira de Santana ; BA;Nordeste
5544;São Sebastião ; SP;Sudeste
5545;Ubatuba ; SP;Sudeste
5546;Godofredo Viana ; MA;Nordeste
5547;Cândido Mendes ; MA;Nordeste
5548;Central do Maranhão ; MA;Nordeste
5549;Luís Domingues ; MA;Nordeste
5550;Viseu ; PA;Norte
5551;Augusto Corrêa ; PA;Norte
5552;Pinheiro ; MA;Nordeste
5553;Bequimão ; MA;Nordeste
5554;Paraty ; RJ;Sudeste
5555;São Caetano de Odivelas ; PA;Norte
5556;Caraguatatuba ; SP;Sudeste
5557;Angra dos Reis ; RJ;Sudeste
5558;Macau ; RN;Nordeste
5559;Porto do Mangue ; RN;Nordeste
5560;Curuçá ; PA;Norte
5561;Mangaratiba ; RJ;Sudeste
5562;Balneário Camboriú ; SC;Sul
5563;Macaé ; RJ;Sudeste
5564;Itaguaí ; RJ;Sudeste
5565;Bertioga ; SP;Sudeste
5566;Rio de Janeiro ; RJ;Sudeste
5567;Acaraú ; CE;Nordeste
5568;Turiaçu ; MA;Nordeste
5569;Bragança ; PA;Norte
5570;Barreirinhas ; MA;Nordeste
