OBJECTID;MUNICIPIO;Estado;Região
4988;Marajá do Sena ; MA;Nordeste
4989;Mossoró ; RN;Nordeste
4990;Tamboril ; CE;Nordeste
4991;Itaitinga ; CE;Nordeste
4992;Campo Maior ; PI;Nordeste
4993;Baixio ; CE;Nordeste
4994;Cocal de Telha ; PI;Nordeste
4995;União ; PI;Nordeste
4996;Morada Nova ; CE;Nordeste
4997;Ibicuitinga ; CE;Nordeste
4998;Lima Campos ; MA;Nordeste
4999;Itatira ; CE;Nordeste
5000;Itapiúna ; CE;Nordeste
5001;Ipueiras ; CE;Nordeste
5002;Pedreiras ; MA;Nordeste
5003;Boqueirão do Piauí ; PI;Nordeste
5004;Capitão de Campos ; PI;Nordeste
5005;Lago da Pedra ; MA;Nordeste
5006;Catunda ; CE;Nordeste
5007;Aracati ; CE;Nordeste
5008;Paulo Ramos ; MA;Nordeste
5009;Ocara ; CE;Nordeste
5010;Lagoa Alegre ; PI;Nordeste
5011;Caxias ; MA;Nordeste
5012;Fortim ; CE;Nordeste
5013;Jacundá ; PA;Norte
5014;Lagoa de São Francisco ; PI;Nordeste
5015;São Luís Gonzaga do Maranhão ; MA;Nordeste
5016;Croatá ; CE;Nordeste
5017;Peritoró ; MA;Nordeste
5018;Aracoiaba ; CE;Nordeste
5019;Boa Hora ; PI;Nordeste
5020;Tururu ; CE;Nordeste
5021;Hidrolândia ; CE;Nordeste
5022;Baturité ; CE;Nordeste
5023;Coelho Neto ; MA;Nordeste
5024;Aldeias Altas ; MA;Nordeste
5025;Icapuí ; CE;Nordeste
5026;Açailândia ; MA;Nordeste
5027;Brejo de Areia ; MA;Nordeste
5028;Barreira ; CE;Nordeste
5029;Ipu ; CE;Nordeste
5030;Pires Ferreira ; CE;Nordeste
5031;Guaraciaba do Norte ; CE;Nordeste
5032;Pindoretama ; CE;Nordeste
5033;Brasileira ; PI;Nordeste
5034;Bom Jesus das Selvas ; MA;Nordeste
5035;Mulungu ; CE;Nordeste
5036;Palmácia ; CE;Nordeste
5037;Reriutaba ; CE;Nordeste
5038;Codó ; MA;Nordeste
5039;Guaramiranga ; CE;Nordeste
5040;Acarape ; CE;Nordeste
5041;Piripiri ; PI;Nordeste
5042;Domingos Mourão ; PI;Nordeste
5043;Pacajus ; CE;Nordeste
5044;Bom Lugar ; MA;Nordeste
5045;Beberibe ; CE;Nordeste
5046;Afonso Cunha ; MA;Nordeste
5047;Carnaubal ; CE;Nordeste
5048;Paramoti ; CE;Nordeste
5049;Canindé ; CE;Nordeste
5050;Horizonte ; CE;Nordeste
5051;Rondon do Pará ; PA;Norte
5052;Cascavel ; CE;Nordeste
5053;Capinzal do Norte ; MA;Nordeste
5054;Caridade ; CE;Nordeste
5055;Timbiras ; MA;Nordeste
5056;Olho d'Água das Cunhãs ; MA;Nordeste
5057;Santa Quitéria ; CE;Nordeste
5058;Tejuçuoca ; CE;Nordeste
5059;Buriticupu ; MA;Nordeste
5060;Barras ; PI;Nordeste
5061;Carlos Barbosa ; RS;Sul
5062;Altamira do Maranhão ; MA;Nordeste
5063;Miguel Alves ; PI;Nordeste
5064;Ibiapina ; CE;Nordeste
5065;Vitorino Freire ; MA;Nordeste
5066;Pacujá ; CE;Nordeste
5067;São Benedito ; CE;Nordeste
5068;Novo Repartimento ; PA;Norte
5069;Solânea ; PB;Nordeste
5070;Maranguape ; CE;Nordeste
5071;Bacabal ; MA;Nordeste
5072;Lago Verde ; MA;Nordeste
5073;Bela Vista do Maranhão ; MA;Nordeste
5074;São Mateus do Maranhão ; MA;Nordeste
5075;Nova Aliança do Ivaí ; PR;Sul
5076;Pio XII ; MA;Nordeste
5077;Coroatá ; MA;Nordeste
5078;São João da Fronteira ; PI;Nordeste
5079;Dom Eliseu ; PA;Norte
5080;Aquiraz ; CE;Nordeste
5081;Ubajara ; CE;Nordeste
5082;Forquilha ; CE;Nordeste
5083;Uiraúna ; PB;Nordeste
5084;Vargem Grande ; MA;Nordeste
5085;Pentecoste ; CE;Nordeste
5086;Esperantina ; PI;Nordeste
5087;Placas ; PA;Norte
5088;Viçosa do Ceará ; CE;Nordeste
5089;Careiro ; AM;Norte
5090;Tefé ; AM;Norte
5091;Fortaleza ; CE;Nordeste
5092;Cantanhede ; MA;Nordeste
5093;Batalha ; PI;Nordeste
5094;Tabatinga ; AM;Norte
5095;Olinda Nova do Maranhão ; MA;Nordeste
5096;Conceição do Lago-Açu; MA;Nordeste
5097;Igarapé do Meio ; MA;Nordeste
5098;Irauçuba ; CE;Nordeste
5099;Anori ; AM;Norte
5100;Santa Inês ; MA;Nordeste
5101;Frecheirinha ; CE;Nordeste
5102;Beruri ; AM;Norte
5103;Pirapemas ; MA;Nordeste
5104;Alto Alegre do Pindaré ; MA;Nordeste
5105;Tufilândia ; MA;Nordeste
5106;Peri Mirim ; MA;Nordeste
5107;Pindaré-Mirim; MA;Nordeste
5108;Itinga do Maranhão ; MA;Nordeste
5109;Caucaia ; CE;Nordeste
5110;Piracuruca ; PI;Nordeste
5111;Matões do Norte ; MA;Nordeste
5112;Nova Olinda do Norte ; AM;Norte
5113;Arara ; PB;Nordeste
5114;Mãe do Rio ; PA;Norte
5115;Alcântaras ; CE;Nordeste
5116;São Gonçalo do Amarante ; CE;Nordeste
5117;Tucuruí ; PA;Norte
5118;Breu Branco ; PA;Norte
5119;Cocal dos Alves ; PI;Nordeste
5120;Mata Roma ; MA;Nordeste
5121;Coreaú ; CE;Nordeste
5122;Meruoca ; CE;Nordeste
5123;Paracambi ; RJ;Sudeste
5124;Joaquim Pires ; PI;Nordeste
5125;Paracuru ; CE;Nordeste
5126;Boa Vista ; PB;Nordeste
5127;Milagres do Maranhão ; MA;Nordeste
5128;Anapurus ; MA;Nordeste
5129;Massapê ; CE;Nordeste
5130;Miraíma ; CE;Nordeste
5131;Moraújo ; CE;Nordeste
5132;Vitória do Mearim ; MA;Nordeste
5133;Nina Rodrigues ; MA;Nordeste
5134;Tianguá ; CE;Nordeste
5135;Nossa Senhora de Nazaré ; PI;Nordeste
5136;Governador Newton Bello ; MA;Nordeste
5137;Cubati ; PB;Nordeste
5138;São Vicente do Sul ; RS;Sul
5139;Santana do Acaraú ; CE;Nordeste
5140;Uruoca ; CE;Nordeste
5141;Manaquiri ; AM;Norte
5142;Martins ; RN;Nordeste
5143;Paraipaba ; CE;Nordeste
5144;Arari ; MA;Nordeste
5145;Anamã ; AM;Norte
5146;Caxingó ; PI;Nordeste
5147;Monção ; MA;Nordeste
5148;Cajari ; MA;Nordeste
5149;Autazes ; AM;Norte
5150;Senador Elói de Souza ; RN;Nordeste
5151;Murici dos Portelas ; PI;Nordeste
5152;Pedro Régis ; PB;Nordeste
5153;Chapadinha ; MA;Nordeste
5154;Cocal ; PI;Nordeste
5155;Trairi ; CE;Nordeste
5156;Bom Jesus ; PB;Nordeste
5157;Itapecuru Mirim ; MA;Nordeste
5158;Senador Sá ; CE;Nordeste
5159;Areial ; PB;Nordeste
5160;Alegrete ; RS;Sul
5161;Borborema ; PB;Nordeste
5162;Marco ; CE;Nordeste
5163;Aratuba ; CE;Nordeste
5164;Buriti dos Lopes ; PI;Nordeste
5165;Itapipoca ; CE;Nordeste
5166;Emas ; PB;Nordeste
5167;Palmeirândia ; MA;Nordeste
5168;Urbano Santos ; MA;Nordeste
5169;Itapuí ; SP;Sudeste
5170;Groaíras ; CE;Nordeste
5171;Alvarães ; AM;Norte
5172;Amaturá ; AM;Norte
5173;Granja ; CE;Nordeste
5174;Careiro da Várzea ; AM;Norte
5175;Santa Luzia do Paruá ; MA;Nordeste
5176;Santa Rita ; MA;Nordeste
5177;Zé Doca ; MA;Nordeste
5178;Bom Princípio do Piauí ; PI;Nordeste
5179;Bacabeira ; MA;Nordeste
5180;Chaval ; CE;Nordeste
5181;Manfrinópolis ; PR;Sul
5182;Bela Cruz ; CE;Nordeste
5183;Macaparana ; PE;Nordeste
5184;Amontada ; CE;Nordeste
5185;Apuiarés ; CE;Nordeste
5186;Belágua ; MA;Nordeste
5187;Presidente Juscelino ; MA;Nordeste
5188;Cachoeira Grande ; MA;Nordeste
5189;Tutóia ; MA;Nordeste
5190;Lago dos Rodrigues ; MA;Nordeste
5191;Matinha ; MA;Nordeste
5192;Viana ; MA;Nordeste
5193;São Bernardo ; MA;Nordeste
5194;Cajueiro da Praia ; PI;Nordeste
5195;Martinópole ; CE;Nordeste
5196;Araguanã ; MA;Nordeste
5197;Anajatuba ; MA;Nordeste
5198;Itarema ; CE;Nordeste
5199;Luís Correia ; PI;Nordeste
5200;Santana do Maranhão ; MA;Nordeste
5201;São Vicente Ferrer ; MA;Nordeste
5202;Capela ; AL;Nordeste
5203;Camocim ; CE;Nordeste
5204;Iranduba ; AM;Norte
5205;Boa Vista do Ramos ; AM;Norte
5206;Poço de José de Moura ; PB;Nordeste
5207;Água Doce do Maranhão ; MA;Nordeste
5208;Ilha Grande ; PI;Nordeste
5209;Vitória do Xingu ; PA;Norte
5210;Santa Quitéria do Maranhão ; MA;Nordeste
5211;Lagoa do Sítio ; PI;Nordeste
5212;Pedro do Rosário ; MA;Nordeste
5213;Cajapió ; MA;Nordeste
5214;Barroquinha ; CE;Nordeste
5215;Manacapuru ; AM;Norte
5216;Paulino Neves ; MA;Nordeste
5217;Massaranduba ; PB;Nordeste
5218;Rondon ; PR;Sul
5219;Brasil Novo ; PA;Norte
5220;Santo Antônio do Içá ; AM;Norte
5221;Baião ; PA;Norte
5222;Nova Olinda do Maranhão ; MA;Nordeste
5223;São Bento ; MA;Nordeste
5224;Caapiranga ; AM;Norte
5225;Maracaçumé ; MA;Nordeste
5226;Barreirinha ; AM;Norte
5227;Luís Gomes ; RN;Nordeste
5228;Silves ; AM;Norte
5229;Urucurituba ; AM;Norte
5230;Irajuba ; BA;Nordeste
5231;Araguaçu ; TO;Norte
5232;Jaú do Tocantins ; TO;Norte
5233;Belterra ; PA;Norte
5234;Colônia do Piauí ; PI;Nordeste
5235;Itacoatiara ; AM;Norte
5236;Jardim Olinda ; PR;Sul
5237;Paço do Lumiar ; MA;Nordeste
5238;Cruz ; CE;Nordeste
5239;Cabaceiras do Paraguaçu ; BA;Nordeste
5240;Mocajuba ; PA;Norte
5241;Boa Vista do Gurupi ; MA;Nordeste
5242;Capistrano ; CE;Nordeste
5243;Tailândia ; PA;Norte
5244;Eusébio ; CE;Nordeste
5245;Santo Amaro do Maranhão ; MA;Nordeste
5246;Primeira Cruz ; MA;Nordeste
5247;Santa Maria do Pará ; PA;Norte
5248;Parintins ; AM;Norte
5249;Juazeiro do Norte ; CE;Nordeste
5250;Itapiranga ; AM;Norte
5251;Landri Sales ; PI;Nordeste
5252;Jijoca de Jericoacoara ; CE;Nordeste
5253;Uarini ; AM;Norte
5254;Humberto de Campos ; MA;Nordeste
5255;Presidente Médici ; MA;Nordeste
5256;Tonantins ; AM;Norte
5257;Parnaíba ; PI;Nordeste
5258;Albertina ; MG;Sudeste
5259;Geminiano ; PI;Nordeste
5260;Assunção do Piauí ; PI;Nordeste
5261;Maranhãozinho ; MA;Nordeste
5262;Centro do Guilherme ; MA;Nordeste
5263;Maracanaú ; CE;Nordeste
5264;Porto ; PI;Nordeste
5265;Umirim ; CE;Nordeste
5266;Cuitegi ; PB;Nordeste
5267;Araioses ; MA;Nordeste
5268;Tomé-Açu; PA;Norte
5269;Junco do Maranhão ; MA;Nordeste
5270;Rio Preto da Eva ; AM;Norte
5271;Santa Helena ; MA;Nordeste
5272;Satubinha ; MA;Nordeste
5273;Pureza ; RN;Nordeste
5274;São Luís do Curu ; CE;Nordeste
5275;Raposa ; MA;Nordeste
5276;Aurora do Pará ; PA;Norte
5277;Juruti ; PA;Norte
5278;Cametá ; PA;Norte
5279;Nova Esperança do Piriá ; PA;Norte
5280;Mirinzal ; MA;Nordeste
5281;Cedral ; MA;Nordeste
5282;Turilândia ; MA;Nordeste
5283;São Domingos do Capim ; PA;Norte
5284;Garrafão do Norte ; PA;Norte
5285;Trizidela do Vale ; MA;Nordeste
5286;Governador Nunes Freire ; MA;Nordeste
5287;Bagre ; PA;Norte
5288;Limoeiro do Ajuru ; PA;Norte
5289;Concórdia do Pará ; PA;Norte
5290;Nazarezinho ; PB;Nordeste
5291;Dueré ; TO;Norte
5292;Igarapé-Miri; PA;Norte
5293;Tabaporã ; MT;Centro-Oeste
5294;Porto Alegre do Norte ; MT;Centro-Oeste
5295;Siriri ; SE;Nordeste
5296;Terra Santa ; PA;Norte
5297;Castanhal ; PA;Norte
5298;Cachoeira do Piriá ; PA;Norte
5299;Serrano do Maranhão ; MA;Nordeste
